code,name,continent_code 
ABW,Aruba,NA
AFG,Afghanistan,AS
AGO,Angola,AF
AIA,Anguilla,NA
ALA,Aland Islands,EU
ALB,Albania,EU
AND,Andorra,EU
ASM,American Samoa,OC
ATA,Antarctica,AN
ATF,French Southern Territories,AF
ATG,Antigua and Barbuda,NA
AUS,Australia,OC
AUT,Austria,EU
AZE,Azerbaijan,AS
BDI,Burundi,AF
BEL,Belgium,EU
BEN,Benin,AF
BES,Bonaire,NA
BFA,Burkina Faso,AF
BGD,Bangladesh,AS
BGR,Bulgaria,EU
BHR,Bahrain,AS
BHS,Bahamas,NA
BIH,Bosnia and Herzegovina,EU
BLM,Saint Barthelemy,NA
BLR,Belarus,EU
BLZ,Belize,NA
BMU,Bermuda,NA
BOL,Bolivia,SA
BRA,Brazil,SA
BRB,Barbados,NA
BRN,Brunei,AS
BTN,Bhutan,AS
BVT,Bouvet Island,AN
BWA,Botswana,AF
CAF,Central African Republic,AF
CAN,Canada,NA
CCK,Cocos (Keeling) Islands,AS
CHE,Switzerland,EU
CHL,Chile,SA
CHN,China,AS
CIV,Cote d'Ivoire,AF
CMR,Cameroon,AF
COD,Democratic Republic of the Congo,AF
COG,Congo,AF
COK,Cook Islands,OC
COL,Colombia,SA
COM,Comoros,AF
CPV,Cape Verde,AF
CRI,Costa Rica,NA
CUB,Cuba,NA
CUW,Curacao,NA
CXR,Christmas Island,AS
CYM,Cayman Islands,NA
CYP,Cyprus,AS
CZE,Czech Republic,EU
DEU,Germany,EU
DJI,Djibouti,AF
DMA,Dominica,NA
DNK,Denmark,EU
DOM,Dominican Republic,NA
DZA,Algeria,AF
ECU,Ecuador,SA
EGY,Egypt,AS
ERI,Eritrea,AF
ESH,Sahrawi Arab Democratic Republic,AF
ESP,Spain,EU
EST,Estonia,EU
ETH,Ethiopia,AF
FIN,Finland,EU
FJI,Fiji,OC
FLK,Falkland Islands (Malvinas),SA
FRA,France,EU
FRO,Faroe Islands,EU
FSM,Micronesia,OC
GAB,Gabon,AF
GBR,United Kingdom of Great Britain & Northern Ireland,EU
GEO,Georgia,AS
GGY,Guernsey,EU
GHA,Ghana,AF
GIB,Gibraltar,EU
GIN,Guinea,AF
GLP,Guadeloupe,NA
GMB,Gambia,AF
GNB,Guinea-Bissau,AF
GNQ,Equatorial Guinea,AF
GRC,Greece,EU
GRD,Grenada,NA
GRL,Greenland,NA
GTM,Guatemala,NA
GUF,French Guiana,SA
GUM,Guam,OC
GUY,Guyana,SA
HKG,Hong Kong,AS
HMD,Heard Island and McDonald Islands,AN
HND,Honduras,NA
HRV,Croatia,EU
HTI,Haiti,NA
HUN,Hungary,EU
IDN,Indonesia,AS
IMN,Isle of Man,EU
IND,India,AS
IOT,British Indian Ocean Territory,AF
IRL,Ireland,EU
IRN,Iran,AS
IRQ,Iraq,AS
ISL,Iceland,EU
ISR,Israel,AS
ITA,Italy,EU
JAM,Jamaica,NA
JEY,Jersey,EU
JOR,Jordan,AS
JPN,Japan,AS
KAZ,Kazakhstan,AS
KEN,Kenya,AF
KGZ,Kyrgyz Republic,AS
KHM,Cambodia,AS
KIR,Kiribati,OC
KNA,Saint Kitts and Nevis,NA
KOR,Republic of Korea,AS
KWT,Kuwait,AS
LAO,Lao People's Democratic Republic,AS
LBN,Lebanon,AS
LBR,Liberia,AF
LBY,Libya,AF
LCA,Saint Lucia,NA
LIE,Liechtenstein,EU
LKA,Sri Lanka,AS
LSO,Lesotho,AF
LTU,Lithuania,EU
LUX,Luxembourg,EU
LVA,Latvia,EU
MAC,Macao,AS
MAF,Saint Martin,NA
MAR,Morocco,AF
MCO,Monaco,EU
MDA,Moldova,EU
MDG,Madagascar,AF
MDV,Maldives,AS
MEX,Mexico,NA
MHL,Marshall Islands,OC
MKD,North Macedonia,EU
MLI,Mali,AF
MLT,Malta,EU
MMR,Myanmar,AS
MNE,Montenegro,EU
MNG,Mongolia,AS
MNP,Northern Mariana Islands,OC
MOZ,Mozambique,AF
MRT,Mauritania,AF
MSR,Montserrat,NA
MTQ,Martinique,NA
MUS,Mauritius,AF
MWI,Malawi,AF
MYS,Malaysia,AS
MYT,Mayotte,AF
NAM,Namibia,AF
NCL,New Caledonia,OC
NER,Niger,AF
NFK,Norfolk Island,OC
NGA,Nigeria,AF
NIC,Nicaragua,NA
NIU,Niue,OC
NLD,Netherlands,EU
NOR,Norway,EU
NPL,Nepal,AS
NRU,Nauru,OC
NZL,New Zealand,OC
OMN,Oman,AS
PAK,Pakistan,AS
PAN,Panama,NA
PCN,Pitcairn Islands,OC
PER,Peru,SA
PHL,Philippines,AS
PLW,Palau,OC
PNG,Papua New Guinea,OC
POL,Poland,EU
PRI,Puerto Rico,NA
PRK,Democratic People's Republic of Korea,AS
PRT,Portugal,EU
PRY,Paraguay,SA
PSE,Palestine,AS
PYF,French Polynesia,OC
QAT,Qatar,AS
REU,Reunion,AF
ROU,Romania,EU
RUS,Russian Federation,EU
RWA,Rwanda,AF
SAU,Saudi Arabia,AS
SDN,Sudan,AF
SEN,Senegal,AF
SGP,Singapore,AS
SGS,South Georgia and the South Sandwich Islands,AN
SHN,Saint Helena,AF
SJM,Svalbard & Jan Mayen Islands,EU
SLB,Solomon Islands,OC
SLE,Sierra Leone,AF
SLV,El Salvador,NA
SMR,San Marino,EU
SOM,Somalia,AF
SPM,Saint Pierre and Miquelon,NA
SRB,Serbia,EU
SSD,South Sudan,AF
STP,São Tomé and Príncipe,AF
SUR,Suriname,SA
SVK,Slovakia (Slovak Republic),EU
SVN,Slovenia,EU
SWE,Sweden,EU
SWZ,Eswatini,AF
SXM,Sint Maarten (Netherlands),NA
SYC,Seychelles,AF
SYR,Syrian Arab Republic,AS
TCA,Turks and Caicos Islands,NA
TCD,Chad,AF
TGO,Togo,AF
THA,Thailand,AS
TJK,Tajikistan,AS
TKL,Tokelau,OC
TKM,Turkmenistan,AS
TLS,Timor-Leste,AS
TON,Tonga,OC
TTO,Trinidad and Tobago,NA
TUN,Tunisia,AF
TUR,Turkey,AS
TUV,Tuvalu,OC
TWN,Taiwan,AS
TZA,Tanzania,AF
UGA,Uganda,AF
UKR,Ukraine,EU
UMI,United States Minor Outlying Islands,OC
URY,Uruguay,SA
USA,United States of America,NA
UZB,Uzbekistan,AS
VAT,Holy See (Vatican City State),EU
VCT,Saint Vincent and the Grenadines,NA
VEN,Venezuela,SA
VGB,British Virgin Islands,NA
VIR,United States Virgin Islands,NA
VNM,Vietnam,AS
VUT,Vanuatu,OC
WLF,Wallis and Futuna,OC
WSM,Samoa,OC
XKX,Kosovo,EU
YEM,Yemen,AS
ZAF,South Africa,AF
ZMB,Zambia,AF
ZWE,Zimbabwe,AF